23.7	0.01	0.569
23.8	0.01	0.573
23.9	0.01	0.578
24	0.01	0.581
24.1	0.01	0.584
24.2	0.01	0.587
24.3	0.01	0.591
24.4	0.01	0.596
24.5	0.01	0.602
24.6	0.01	0.608
24.7	0.01	0.615
24.8	0.01	0.621
24.9	0.01	0.629
25	0.01	0.635
25.1	0.01	0.64
25.2	0.01	0.643
25.3	0.01	0.644
25.4	0.01	0.645
25.5	0.01	0.645
25.6	0.01	0.645
25.7	0.01	0.646
25.8	0.01	0.646
25.9	0.01	0.648
26	0.01	0.649
26.1	0.01	0.651
26.2	0.01	0.652
26.3	0.01	0.655
26.4	0.01	0.656
26.5	0.01	0.658
26.6	0.01	0.659
26.7	0.01	0.659
26.8	0.01	0.66
26.9	0.01	0.662
27	0.01	0.663
27.1	0.01	0.664
27.2	0.01	0.666
27.3	0.01	0.667
27.4	0.01	0.668
27.5	0.01	0.669
27.6	0.01	0.67
27.7	0.01	0.672
27.8	0.01	0.674
27.9	0.01	0.677
28	0.01	0.679
28.1	0.01	0.683
28.2	0.01	0.686
28.3	0.01	0.689
28.4	0.01	0.693
28.5	0.01	0.697
28.6	0.01	0.701
28.7	0.01	0.705
28.8	0.01	0.708
28.9	0.01	0.712
29	0.01	0.716
29.1	0.01	0.721
29.2	0.01	0.726
29.3	0.01	0.729
29.4	0.01	0.733
29.5	0.01	0.736
29.6	0.01	0.74
29.7	0.01	0.745
29.8	0.01	0.75
29.9	0.01	0.755
30	0.01	0.761
30.1	0.01	0.764
30.2	0.01	0.772
30.3	0.01	0.779
30.4	0.01	0.789
30.5	0.01	0.79
30.6	0.01	0.795
30.7	0.01	0.799
30.8	0.01	0.803
30.9	0.01	0.806
31	0.01	0.811
31.1	0.01	0.816
31.2	0.01	0.819
31.3	0.01	0.823

